Data;Close;;;;;
28.05.2025;31.92;;;;;
27.05.2025;32.55;;;;;
26.05.2025;32.5;;;;;
23.05.2025;32.49;;;;;
22.05.2025;33.09;;;;;
21.05.2025;32.11;;;;;
20.05.2025;31.37;;;;;
19.05.2025;31.29;;;;;
16.05.2025;31.36;;;;;
15.05.2025;30.87;;;;;
14.05.2025;31.01;;;;;
13.05.2025;31.1;;;;;
12.05.2025;31.14;;;;;
09.05.2025;30.69;;;;;
08.05.2025;30;;;;;
07.05.2025;28.73;;;;;
06.05.2025;28.02;;;;;
05.05.2025;27.84;;;;;
02.05.2025;28.88;;;;;
30.04.2025;27.9;;;;;
29.04.2025;27.96;;;;;
28.04.2025;27.66;;;;;
25.04.2025;28.13;;;;;
24.04.2025;27.63;;;;;
23.04.2025;27.31;;;;;
22.04.2025;26.63;;;;;
17.04.2025;24.98;;;;;
16.04.2025;25.15;;;;;
15.04.2025;25.31;;;;;
14.04.2025;25.04;;;;;
11.04.2025;24.42;;;;;
10.04.2025;23.91;;;;;
09.04.2025;23.45;;;;;
08.04.2025;24.16;;;;;
07.04.2025;24.14;;;;;
04.04.2025;25.41;;;;;
03.04.2025;24.88;;;;;
02.04.2025;26.99;;;;;
01.04.2025;26.45;;;;;
31.03.2025;26.07;;;;;
28.03.2025;26.07;;;;;
27.03.2025;27.13;;;;;
26.03.2025;27.08;;;;;
25.03.2025;27.33;;;;;
24.03.2025;27.41;;;;;
21.03.2025;26.1;;;;;
20.03.2025;26.08;;;;;
19.03.2025;26.15;;;;;
18.03.2025;25.26;;;;;
17.03.2025;25.72;;;;;
14.03.2025;26.1;;;;;
13.03.2025;25.08;;;;;
12.03.2025;25.35;;;;;
11.03.2025;25.18;;;;;
10.03.2025;24.67;;;;;
07.03.2025;27.14;;;;;
06.03.2025;28.12;;;;;
05.03.2025;27.49;;;;;
04.03.2025;26.31;;;;;
03.03.2025;28.9;;;;;
28.02.2025;27.14;;;;;
27.02.2025;27.39;;;;;
26.02.2025;27.81;;;;;
25.02.2025;27.62;;;;;
24.02.2025;30.47;;;;;
21.02.2025;31.72;;;;;
20.02.2025;31.41;;;;;
19.02.2025;31.16;;;;;
18.02.2025;30.6;;;;;
17.02.2025;30.7;;;;;
14.02.2025;31.03;;;;;
13.02.2025;30.86;;;;;
12.02.2025;31.14;;;;;
11.02.2025;31.46;;;;;
10.02.2025;31.71;;;;;
07.02.2025;31.96;;;;;
06.02.2025;31.5;;;;;
05.02.2025;31.62;;;;;
04.02.2025;32.36;;;;;
03.02.2025;32.42;;;;;
31.01.2025;33.97;;;;;
30.01.2025;34.25;;;;;
29.01.2025;33.01;;;;;
28.01.2025;33.08;;;;;
27.01.2025;32.18;;;;;
24.01.2025;34.01;;;;;
